Acrobatic: You have excellent body awareness and coordination. |Req: None. |Bonus: You get a +2 Bonus on all Jump checks and Tumble checks.
Craft Rod: You can create magic rods, which have varied magical effects. |Req: Caster level 9th. |Bonus: You can create any rod whose prerequisites you meet.
Craft Staff: You can create magic staffs, each of which has multiple magical effects. |Req: Caster level 12th. |Bonus: You can create any staffs whose prerequisite you meet.
Craft Wand: You can create wands, which hold spells. |Req: Caster level 5th. |Bonus: You can create a wand of any 4th-level or lower spell that you know.
Craft Wondrous Item: You can create a wide variety of magic items, such as a crystal ball or a flying carpet. |Req: Caster level 3rd. |Bonus: You can create any wondrous item whose prerequisites you meet.
Deceitful: You have a knack for disguising the truth. |Req: None. |Bonus: You get a +2 Bonus on all Disguise checks and Forgery checks.
Deflect Arrows: You can deflect incoming arrows, as well as crossbow bolts, spears, and other projectile or thrown weapons. |Req: Improved Unarmed Strike, DEX 13. |Bonus: You must have at least one hand free (holding nothing) to use this feat. Once per round when you would normally be hit with a ranged weapon, you may deflect it so that you take no damage from it.
Deft Hands: You have exceptional manual dexterity. |Req: None. |Bonus: You get a +2 Bonus on all Sleight of Hand checks and Use Rope checks.
Diehard: You can remain conscious after attacks that would fell others. |Req: Endurance. |Bonus: When reduced to between -1 and -9 hit points, you automatically become stable.
Diligent: Your meticulousness allows you to analyze minute details that others miss. |Req: None. |Bonus: You get a +2 Bonus on all Appraise checks and Decipher Script checks.
Dodge: You are adept at dodging blows. |Req: DEX 13. |Bonus: During your action, you designate an opponent and receive a +1 dodge Bonus to Armor Class against attacks from that opponent.
Empower Spell: You can cast spells to greater effect. |Req: Intensify Spell, Wounding Spell. |Bonus: All variable, numeric effects of an empowered spell are increased by one-half.
Endurance: You are capable of amazing feats of stamina. |Req: None. |Bonus: You gain a +4 Bonus on various checks and saves.
Enlarge Spell: You can cast spells farther than normal. |Req: None. |Bonus: You can alter a spell with a range of close, medium, or long to increase its range by 100%.
Eschew Materials: You can cast spells without relying on material components. |Req: None. |Bonus: You can cast any spell that has a material component costing 1 gp or less without needing that component.
Exotic Weapon Proficiency: Choose a type of exotic weapon. You understand how to use that type of exotic weapon in combat. |Req: BAB +1. |Bonus: You make attack rolls with the weapon normally.
Extend Spell: You can cast spells that last longer than normal. |Req: None. |Bonus: An extended spell lasts twice as long as normal.
Extra Turning: You can turn or rebuke creatures more often than normal. |Req: Ability to turn or rebuke creatures. |Bonus: Each time you take this feat, you can use your ability to turn or rebuke creatures four more times per day than normal.
Far Shot: You can get greater distance out of a ranged weapon. |Req: Point Blank Shot. |Bonus: When you use a projectile weapon its range increment increases by one-half. When you use a thrown weapon, its range increment is doubled.
Forge Ring: You can create magic rings, which have varied magical effects. |Req: Caster level 12th. |Bonus: You can create any ring whose prerequisites you meet.
Great Cleave: You can wield a melee weapon with such power that you can strike multiple times when you fell your foes. |Req: Cleave, Power Attack, STR 13, BAB +4. |Bonus: This feat works like Cleave, except that there is no limit to the number of times you can use it per round.
Great Fortitude: You are tougher than normal. |Req: None. |Bonus: You get a +2 Bonus on all Fortitude saving throws.
Greater Spell Focus: Choose a school of magic to which you already have applied the Spell Focus feat. Your spells of that school are now even more potent than before. |Req: Spell Focus. |Bonus: Add +1 to the Difficulty Class for all saving throws against spells from the school of magic you select. this Bonus stacks with the Bonus from Spell Focus
Greater Spell Penetration: Your spells are remarkably potent, breaking through spell resistance more readily than normal. |Req: Spell Penetration. |Bonus: You get a +2 Bonus on caster level checks (1d20 + caster level) made to overcome a creature's spell resistance. This Bonus stacks with the one from Spell Penetration.
Greater Two-Weapon Fighting: You are a master at fighting two-handed. |Req: Improved Two-Weapon Fighting, Two-Weapon FIghting, DEX19, BAB +11. |Bonus: You get a third attack with your off-hand weapon, albeit at a -10 penalty.
Greater Weapon Focus: Choose one type of weapon, such as greataxe, for which you have already selected Weapon Focus. You are especially good at using this weapon. |Req: Weapon Focus, Fighter level 8. |Bonus: You gain a +1 Bonus on all attack rolls you make using the selected weapon. this Bonus stacks with other Bonuses on attack rolls, including the one from Weapon Focus.
Greater Weapon Specialization: Choose one type of weapon, such as greataxe, for which you have already selected Weapon Specialization. You deal extra damage when using this weapon. |Req: Fighter level 12th, Greater Weapon Focus, Weapon Focus, Weapon Specialization. |Bonus: You gain a +2 Bonus on all damage rolls you make using the selected weapon. this Bonus stacks with other Bonuses on damage rolls, including the one from Weapon Specialization.
Heighten Spell: You can cast a spell as if it were a higher-level spell than it actually is. |Req: None. |Bonus: A heightened spell has a higher spell level than normal (up to a maximum of 9th level).
Improved Bull Rush: Your Bull Rush is more effective. |Req: Power Attack, STR 13. When you perform a bull rush you do not provoke an attack of opportunity from the defender. |Bonus: You also gain a +4 Bonus on the opposed Strength check you make to push back the defender.
Improved Counterspell: You understand the nuances of magic to such an extent that you can counter your opponent's spells with great efficiency. |Req: None. |Bonus: When counterspelling, you may use a spell of the same school that is one or more spell levels higher than the target spell.
Improved Critical: Choose one type of weapon, such as longsword or greataxe. With that weapon, you know how to hit where it hurts. |Req: BAB +8. |Bonus: When using the weapon you selected, your threat range is doubled.
Improved Disarm: You know how to disarm opponents in melee combat. |Req: Combat Expertise, INT 13. |Bonus: You do not provoke an attack of opportunity when you attempt to disarm an opponent, nor does the opponent have a chance to disarm you. You also gain a +4 Bonus on the opposed attack roll you make to disarm your opponent.
Improved Feint: You are skilled at misdirecting your opponent's attention in combat. |Req: Combat Expertise, INT 13. |Bonus: You can make a Bluff check to feint in combat as a move action.
Improved Grapple: You are skilled at grappling opponents. |Req: Improved Unarmed Strike, DEX 13. |Bonus: You do not provoke an attack of opportunity when you make a touch attack to start a grapple. You also gain a +4 Bonus on all grapple checks, regardless of whether you started the grapple.
Improved Initiative: You can react more quickly than normal in a fight. |Req: None. |Bonus: You get a +4 Bonus on initiative checks.
Improved Overrun: You are skilled at knocking down opponents. |Req: Power Attack, STR 13. |Bonus: When you attempt to overrun an opponent, the target may not choose to avoid you. You also gain a +4 Bonus on your Strength check to knock down your opponent.
Improved Precise Shot: Your ranged attacks can ignore the effects of cover or concealment. |Req: Point Blank Shot, Precise Shot, DEX 19, BAB +11. |Bonus: Your ranged attacks ignore the AC Bonus granted to targets by anything less than total cover, and the miss chance granted to targets by anything less than total concealment.
Improved Shield Bash: You can bash with a shield while retaining its shield Bonus to your Armor Class. |Req: Shield Proficiency. |Bonus: When you perform a shield bash, you may still apply the shield's shield Bonus to your AC.
Improved Sunder: You are skilled at attacking your opponents' weapons and shields, as well as other objects. |Req: Power Attack, STR 13. |Bonus: When you strike at an object held or carried by an opponent, you do not provoke an attack of opportunity. You also gain a +4 Bonus on any attack roll made to attack an object held or carried by another character.
Improved Trip: You are trained not only in tripping opponents safely but also in following through with an attack. |Req: Combat Expertise, INT 13. |Bonus: You do not provoke an attack of opportunity when you attempt to trip an opponent while you are unarmed. You also gain a +4 Bonus on your Strength check to trip your opponent. If you trip an opponent in melee combat, you immediately get a melee attack against that opponent as if you hadn't used your attack for the trip attempt.
Improved Turning: Your turning or rebuking attempts are more powerful than normal. |Req: Ability to turn or rebuke creatures. |Bonus: You turn or rebuke creatures as if you were one level higher than you are in the class that grants you the ability.
Improved Two-Weapon Fighting: You are an expert in fighting two-handed. |Req: Two-Weapon Fighting, DEX 17, BAB +6. |Bonus: In addition to the standard single extra attack you get with an off-hand weapon, you get a second attack with it, albeit at a - 5 penalty.
Improved Unarmed Strike: You are skilled at fighting while unarmed. |Req: None. |Bonus: You are considered to be armed even when unarmed.
Investigator: You have a knack for finding information. |Req: None. |Bonus: You get a +2 Bonus on all Gather Information checks and Search checks.
Iron Will: You have a stronger will than normal. |Req: None. |Bonus: You get a +2 Bonus on all Will saving throws.
Leadership: You are the sort of person others want to follow, and you have done some work attempting to recruit cohorts and followers. |Req: Character level 6. |Bonus: You can attract loyal companions and devoted followers, subordinates who assist you.
Lightning Reflexes: You have faster than normal reflexes. |Req: None. |Bonus: You get a +2 Bonus on all Reflex saving throws.
Magical Aptitude: You have a knack for magical endeavors. |Req: None. |Bonus: You get a +2 Bonus on all Spellcraft checks and Use Magic Device checks.
Manyshot: You can fire multiple arrows simultaneously against a nearby target. |Req: Point Blank Shot, Rapid Shot, DEX 17, BAB +6. |Bonus: As a standard action, you may fire two arrows at a single opponent within 30 feet. Both arrows use the same attack roll (with a -4 penalty) to determine success and deal damage normally.
Martial Weapon Proficiency: Choose a type of martial weapon. You understand how to use that type of martial weapon in combat. |Req: None. |Bonus: You gain the proficiency for that weapon.
Maximize Spell: You can cast spells to maximum effect. |Req: None. |Bonus: ll variable, numeric effects of a spell modified by this feat are maximized.
Mobility: You are skilled at dodging past opponents and avoiding blows. |Req: Dodge, DEX 13. |Bonus: You get a +4 dodge Bonus to Armor Class against attacks of opportunity caused when you move out of or within a threatened area.
Mounted Archery: You are skilled at using ranged weapons while mounted. |Req: Mounted COmbat, Ride 1 ranks. |Bonus: The penalty you take when using a ranged weapon while mounted is halved: -2 instead of -4 if your mount is taking a double move, and -4 instead of -8 if your mount is running.
Mounted Combat: You are skilled in mounted combat. |Req: Ride 1 ranks. |Bonus: Once per round when your mount is hit in combat, you may attempt a Ride check (as a reaction) to negate the hit. The hit is negated if your Ride check result is greater than the opponent's attack roll.
Natural Spell: You can cast spells while in a wild shape. |Req: WIS 13, Wild Shape ability. |Bonus: You can complete the verbal and somatic components of spells while in a wild shape.
Negotiator: You are good at gauging and swaying attitudes. |Req: None. |Bonus: You get a +2 Bonus on all Diplomacy checks and Sense Motive checks.
Nimble Fingers: You are adept at manipulating small, delicate objects. |Req: None. |Bonus: You get a +2 Bonus on all Disable Device checks and Open Lock checks.
Persuasive: You have a way with words and body language. |Req: None. |Bonus: You get a +2 Bonus on all Bluff checks and Intimidate checks.
Point Blank Shot: You are skilled at making well-placed shots with ranged weapons at close range. |Req: None. |Bonus: You get a +1 Bonus on attack and damage rolls with ranged weapons at ranges of up to 30 feet.
Power Attack: You can make exceptionally powerful melee attacks. |Req: STR 13. |Bonus: On your action, before making attack rolls for a round, you may choose to subtract a number from all melee attack rolls and add the same number to all melee damage rolls. This number may not exceed your base attack Bonus. The penalty on attacks and Bonus on damage apply until your next turn.
Precise Shot: You are skilled at timing and aiming ranged attacks. |Req: Point Blank Shot. |Bonus: You can shoot or throw ranged weapons at an opponent engaged in melee without taking the standard -4 penalty on your attack roll.
Quick Draw: You can draw weapons with startling speed. |Req: BAB +1. |Bonus: You can draw a weapon as a free action instead of as a move action.
Quicken Spell: You can cast a spell with a moment's thought. |Req: None. |Bonus: Casting a quickened spell is a free action. You can perform another action, even casting another spell, in the same round as you cast a quickened spell.
Rapid Reload: Choose a type of crossbow (hand, light, or heavy). You can reload a crossbow of that type more quickly than normal. |Req: Weapon Proficiency. |Bonus: The time required for you to reload your chosen type of crossbow is reduced to a free action (for a hand or light crossbow) or a move action (for a heavy crossbow).
Rapid Shot: You can use ranged weapons with exceptional speed. |Req: Point Blank Shot, DEX 13. You can get one extra attack per round with a ranged weapon. The attack is at your highest base attack Bonus, but each attack you make in that round (the extra one and the normal ones) takes a -2 penalty. You must use the full attack action.
Ride-By Attack: You are skilled at making fast attacks for your mount. |Req: Mounted Combat, Ride 1 ranks. |Bonus: When you are mounted and use the charge action, you may move and attack as if with a standard charge and then move again (continuing the straight line of the charge).
Run: You are fleet of foot. |Req: None. |Bonus: When running, you move five times your normal speed (if wearing medium, light, or no armor and carrying no more than a medium load) or four times your speed (if wearing heavy armor or carrying a heavy load). If you make a jump after a running start, you gain a +4 Bonus on your Jump check. While running, you retain your Dexterity Bonus to AC.
Scribe Scroll: You can create scrolls, from which you or another spellcaster can cast the scribed spells. |Req: Caster level 1st. |Bonus: You can create a scroll of any spell that you know.
Self-Sufficient: You can take care of yourself in harsh environments and situations. |Req: None. |Bonus: You get a +2 Bonus on all Heal checks and Survival checks.
Shield Proficiency: You are proficient with bucklers, small shields, and large shields. |Req: None. |Bonus: You can use a shield and take only the standard penalties.
Shot on the Run: You are highly trained in skirmish ranged weapon tactics. |Req: Dodge, Mobility, Point Blank Shot, DEX 13, BAB +4. |Bonus: When using the attack action with a ranged weapon, you can move both before and after the attack, provided that your total distance moved is not greater than your speed.
Silent Spell: You can cast spells silently. |Req: None. |Bonus: A silent spell can be cast with no verbal components. Spells without verbal components are not affected. A silent spell uses up a spell slot one level higher than the spell's actual level.
Simple Weapon Proficiency: You understand how to use all types of simple weapons in combat. |Req: None. |Bonus: You gain the proficiency for those weapons.
Skill Focus: Choose a skill, such as Move Silently. You have a special knack with that skill. |Req: None. |Bonus: You get a +3 Bonus on all checks involving that skill.
Snatch Arrows: You are adept at grabbing incoming arrows, as well as crossbow bolts, spears, and other projectile or thrown weapons. |Req: Deflect Arrows, Improved Unarmed Strike, DEX 15. |Bonus: When using the Deflect Arrows feat, you may catch the weapon instead of just deflecting it.
Spell Focus: Choose a school of magic, such as illusion. Your spells of that school are more potent than normal. |Req: None. |Bonus: Add +1 to the Difficulty Class for all saving throws against spells from the school of magic you select.
Spell Mastery: You are so intimately familiar with certain spells that you don't need a spellbook to prepare them anymore. |Req: Wizard level 1st. |Bonus: Each time you take this feat, choose a number of spells equal to your Intelligence modifier that you already know. From that point on, you can prepare these spells without referring to a spellbook.
Spell Penetration: Your spells are especially potent, breaking through spell resistance more readily than normal. |Req: None. |Bonus: You get a +2 Bonus on caster level checks (1d20 + caster level) made to overcome a creature's spell resistance.
Spirited Charge: You are trained at making a devastating mounted charge. |Req: Ride-By Attack, Ride 1 ranks. |Bonus: When mounted and using the charge action, you deal double damage with a melee weapon (or triple damage with a lance).
Spring Attack: You are trained in fast melee attacks and fancy footwork. |Req: Dodge, Mobility, DEX 13, BAB +4. |Bonus: When using the attack action with a melee weapon, you can move both before and after the attack, provided that your total distance moved is not greater than your speed.
Stealthy: You are particularly good at avoiding notice. |Req: None. |Bonus: You get a +2 Bonus on all Hide checks and Move Silently checks.
Still Spell: You can cast spells without gestures. |Req: None. |Bonus: A stilled spell can be cast with no somatic components. Spells without somatic components are not affected. A stilled spell uses up a spell slot one level higher than the spell's actual level.
Stunning Fist: You know how to strike opponents in vulnerable areas. |Req: Improved Unarmed Strike, DEX 13, WIS 13, BAB +8. |Bonus: Stunning Fist forces a foe damaged by your unarmed attack to make a Fortitude saving throw, in addition to dealing damage normally. A defender who fails this saving throw is stunned for 1 round.
Sunder: You are skilled at attacking others' weapons. |Req: Power Attack. |Bonus: When you strike at an opponent's weapon, you do not provoke an attack of opportunity.
Toughness: You are tougher than normal. |Req: None. |Bonus: You gain +3 hit points.
Tower Shield Proficiency: You are proficient with tower shields. |Req: Shield Proficiency. |Bonus: You can use a tower shield and suffer only the standard penalties.
Track: You can follow the trails of creatures and characters across most types of terrain. |Req: None. |Bonus: To find tracks or to follow them for 1 mile requires a successful Survival check. You must make another Survival check every time the tracks become difficult to follow, such as when other tracks cross them or when the tracks backtrack and diverge. You move at half your normal speed.
Trample: You are trained in using your mount to knock down opponents. |Req: Ride 1 ranks. |Bonus: When you attempt to overrun an opponent while mounted, your target may not choose to avoid you. Your mount may make one hoof attack against any target you knock down, gaining the standard +4 Bonus on attack rolls against prone targets.
Two-Weapon Defense: Your two-weapon fighting style bolsters your defense as well as your offense. |Req: Two-Weapon Fighting, DEX 15. |Bonus: When wielding a double weapon or two weapons (not including natural weapons or unarmed strikes), you gain a +1 shield Bonus to your AC. When you are fighting defensively or using the total defense action, this shield Bonus increases to +2.
Two-Weapon Fighting: You can fight with a weapon in each hand. You can make one extra attack each round with the second weapon. |Req: DEX 15. |Bonus: Your penalties on attack rolls for fighting with two weapons are reduced. The penalty for your primary hand lessens by 2 and the one for your off hand lessens by 6.
Weapon Finesse: You are especially skilled at using weapons that can benefit as much from Dexterity as from Strength. |Req: BAB +1. |Bonus: With a light weapon, you may use your Dexterity modifier instead of your Strength modifier on attack rolls. If you carry a shield, its armor check penalty applies to your attack rolls.
Weapon Focus: Choose one type of weapon, you are especially good at using this weapon. |Req: BAB +1, Weapon Proficiency. |Bonus: You gain a +1 Bonus on all attack rolls you make using the selected weapon.
Weapon Specialization: Choose one type of weapon for which you have already selected the Weapon Focus feat. You deal extra damage when using this weapon. |Req: Weapon Focus, Fighter level 4th, Weapon Proficiency. |Bonus: You gain a +2 Bonus on all damage rolls you make using the selected weapon.
Whirlwind Attack: You can strike nearby opponents in an amazing, spinning attack. |Req: Combat Expertise, Dodge, Mobility, Spring Attack, DEX 13, INT 13, BAB +4. |Bonus: When you use the full attack action, you can give up your regular attacks and instead make one melee attack at your full base attack Bonus against each opponent within reach.
Widen Spell: You can increase the area of your spells. |Req: None. |Bonus: You can alter a burst, emanation, line, or spread shaped spell to increase its area. Any numeric measurements of the spell's area increase by 100%.

